experiment.name,experiment.seed,training.epochs,training.batch_size,training.threads,training.val_split,training.autotune,dataset.manifest,dataset.filters.include_negatives,dataset.filters.balance,dataset.filters.max_per_class,dataset.filters.quality,dataset.filters.positive_subsets,dataset.filters.negative_subsets,dataset.filters.call_type,dataset.filters.source_root,dataset.filters.splits,dataset.filters.manifest,dataset.filters.seed,metrics.iid.best_f1.threshold,metrics.iid.best_f1.precision,metrics.iid.best_f1.recall,metrics.iid.best_f1.f1,metrics.iid.best_f1.accuracy,metrics.iid.auroc,metrics.iid.auprc,metrics.ood.best_f1.threshold,metrics.ood.best_f1.precision,metrics.ood.best_f1.recall,metrics.ood.best_f1.f1,metrics.ood.best_f1.accuracy,metrics.ood.auroc,metrics.ood.auprc,metadata.timestamp,metadata.git_commit,training_args.fmin,training_args.fmax,analyzer_args.fmin,analyzer_args.fmax,analyzer_args.sensitivity,training_args.overlap,analyzer_args.overlap,training_args.focal-loss,training_args.focal-loss-gamma,training_args.focal-loss-alpha,training_args.learning_rate,training_args.hidden_units,training_args.mixup,training_args.dropout,training_args.label_smoothing,training_args.upsampling_mode,training_args.upsampling_ratio,validation_package.used,validation_package.positive_count,validation_package.negative_count,validation_package.total_count
stage11_025,789,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\medium'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,789.0,0.25,0.863,0.86,0.862,0.815,0.905,0.957,0.5,0.842,0.68,0.752,0.789,0.842,0.875,2025-12-08T17:41:21.242309Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_026,789,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\medium'],['AudioData\\curated\\hardNeg\\hardnet_conf_min_85'],,data\splits,['train'],data\manifest.csv,789.0,0.25,0.891,0.92,0.905,0.871,0.948,0.976,0.25,0.781,0.814,0.797,0.805,0.893,0.909,2025-12-08T17:41:22.302691Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_027,789,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\top50'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,789.0,0.05,0.992,0.803,0.887,0.864,0.943,0.971,0.05,0.984,0.842,0.907,0.896,0.951,0.97,2025-12-08T17:41:23.223020Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_028,789,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\top50'],['AudioData\\curated\\hardNeg\\hardnet_conf_min_85'],,data\splits,['train'],data\manifest.csv,789.0,0.55,0.931,0.933,0.932,0.908,0.966,0.983,0.9,0.849,0.82,0.834,0.841,0.912,0.92,2025-12-08T17:41:24.409239Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_029,789,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\large'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,789.0,0.05,0.933,0.793,0.858,0.824,0.924,0.963,0.05,0.842,0.756,0.797,0.818,0.896,0.912,2025-12-08T17:41:25.456876Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_030,789,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\large'],['AudioData\\curated\\hardNeg\\hardnet_conf_min_85'],,data\splits,['train'],data\manifest.csv,789.0,0.05,0.988,0.674,0.801,0.777,0.867,0.918,0.05,0.992,0.582,0.734,0.801,0.81,0.804,2025-12-08T17:41:26.543079Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_031,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\small'],[],,data\splits,['train'],data\manifest.csv,123.0,0.05,0.994,0.763,0.863,0.838,0.953,0.972,0.05,0.971,0.65,0.779,0.825,0.861,0.873,2025-12-08T17:41:27.629336Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_032,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\small'],[],,data\splits,['train'],data\manifest.csv,456.0,0.1,0.911,0.937,0.924,0.897,0.959,0.978,0.1,0.841,0.789,0.814,0.83,0.902,0.915,2025-12-08T17:41:28.673968Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_033,789,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\small'],[],,data\splits,['train'],data\manifest.csv,789.0,0.25,0.928,0.935,0.932,0.908,0.971,0.986,0.2,0.821,0.76,0.79,0.809,0.884,0.904,2025-12-08T17:41:29.708714Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_034,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\top50'],[],,data\splits,['train'],data\manifest.csv,123.0,0.0,0.667,1.0,0.8,0.667,0.808,0.918,0.9,0.777,0.749,0.763,0.78,0.865,0.888,2025-12-08T17:41:30.842401Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
